,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,1.0,100,2020,0.06
2,20,1.0,200,4020,0.19
3,20,1.0,300,6020,0.04
4,20,0.0,400,8020,-0.04
5,20,-1.0,500,10020,-0.16
6,20,-2.0,600,12020,0.0
7,20,0.0,700,14020,0.02
8,20,-1.0,800,16020,0.28
9,20,-1.0,900,18020,0.47
10,20,0.0,1000,20020,0.32
11,20,0.0,1100,22020,0.51
12,20,-1.0,1200,24020,0.39
13,20,-1.0,1300,26020,0.6
14,20,0.0,1400,28020,0.5
15,20,2.0,1500,30020,0.31
16,20,2.0,1600,32020,0.6
17,20,0.0,1700,34020,0.6
18,20,1.0,1800,36020,0.69
19,20,0.0,1900,38020,0.63
20,20,0.0,2000,40020,0.7
21,20,-1.0,2100,42020,0.74
22,20,0.0,2200,44020,0.74
23,20,3.0,2300,46020,0.82
24,20,0.0,2400,48020,0.68
25,20,-1.0,2500,50020,0.81
26,20,1.0,2600,52020,0.67
27,20,1.0,2700,54020,0.87
28,20,0.0,2800,56020,0.87
29,20,3.0,2900,58020,0.95
30,20,0.0,3000,60020,0.87
31,20,1.0,3100,62020,0.96
32,20,-1.0,3200,64020,0.78
33,20,1.0,3300,66020,0.82
34,20,0.0,3400,68020,0.97
35,20,1.0,3500,70020,0.98
36,20,1.0,3600,72020,0.65
37,20,-1.0,3700,74020,0.94
38,20,1.0,3800,76020,0.79
39,20,0.0,3900,78020,0.69
40,20,0.0,4000,80020,0.73
41,20,1.0,4100,82020,0.99
42,20,1.0,4200,84020,0.95
43,20,2.0,4300,86020,0.77
44,20,1.0,4400,88020,0.87
45,20,0.0,4500,90020,1.06
46,20,0.0,4600,92020,0.97
47,20,3.0,4700,94020,0.87
48,20,0.0,4800,96020,0.88
49,20,0.0,4900,98020,0.89
50,20,0.0,5000,100020,1.05
